age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
53,Private,55139,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Male,27828,0,40,United-States,<=50K
31,Private,140462,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,35224,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,305147,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
33,Private,32732,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,50,El-Salvador,>50K
47,Self-emp-inc,352614,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
37,Private,172855,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,United-States,<=50K
37,Private,446894,Bachelors,13,Married-civ-spouse,Craft-repair,Unmarried,White,Male,15024,0,60,United-States,>50K
50,Private,377692,11th,7,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
23,Private,375526,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,55,United-States,<=50K
27,Private,172828,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,>50K
58,Private,137506,1st-4th,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,33,United-States,>50K
52,Private,284129,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
27,Private,150061,Assoc-acdm,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
34,Self-emp-not-inc,255161,Some-college,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K
25,Private,116103,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,25,United-States,<=50K
18,Private,104423,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,Private,150073,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
40,Local-gov,139571,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,178877,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,<=50K
29,Private,203785,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,21,United-States,>50K
37,Private,281540,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
67,Private,179671,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,United-States,>50K
23,Private,214498,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,60,United-States,<=50K
37,Private,185041,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,5013,0,35,United-States,<=50K
55,Self-emp-not-inc,160120,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
48,Self-emp-not-inc,198400,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
49,Private,180916,7th-8th,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
70,Private,120270,11th,13,Married-civ-spouse,Machine-op-inspct,Husband,Black,Female,0,0,40,United-States,>50K
19,Private,154835,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,<=50K
22,Private,401508,Some-college,10,Married-civ-spouse,Other-service,Other-relative,Black,Male,0,0,40,Jamaica,<=50K
56,Private,196344,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,>50K
58,Private,504725,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,214063,9th,5,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,United-States,<=50K
45,Local-gov,190987,10th,13,Never-married,Prof-specialty,Own-child,White,Male,4650,0,30,United-States,<=50K
19,Private,34446,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
37,Local-gov,60227,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,>50K
